Species,Clade,social_system,range_size,pre_var_among,pre_var_within,tmp,dtr,str,pre,body_mass,abundance,X95..Lower.CI,X95..Upper.CI
Nectarinia_humbloti,P2,0,1240.869577,2.336949348,2.926423788,24.16548729,8.156666756,3.563333273,152.1895905,6.4,NA,NA,NA
Nectarinia_comorensis,P2,0,357.5465376,2.466381788,2.94965744,25.77475739,7.818541765,3.531666636,134.447464,7.77,NA,NA,NA
Nectarinia_coquerellii,P2,0,370.9720065,2.43996799,3.005120635,26.55659771,7.914409876,3.682083368,126.6225357,7.93,76,1,7038
Nectarinia_venusta,P2,0,5592866.263,2.027714363,2.78137102,23.45444898,12.44594429,4.807117392,87.8141973,6.56,7905310,95480,724044574
Nectarinia_ursulae,P2,0,27769.05009,2.356776023,3.097910333,22.97446556,9.426597404,3.257583189,187.5000793,6.5,33826,371,2932142
Nectarinia_talatala,P2,0,2820942.589,2.011597573,2.773537624,21.82966514,13.36645886,9.17847301,64.23144871,8.09,1353123,14456,125638760
Nectarinia_oustaleti,P2,0,219261.2474,1.917265245,2.893957513,20.14875313,12.96289702,5.242803072,92.4645411,9.65,NA,NA,NA
Nectarinia_bouvieri,P2,0,355507.1659,2.209306832,2.881103959,23.39326423,11.34032159,2.982148751,127.5298781,8.7,186897,1978,16097793
Nectarinia_osea,P2,0,568902.3947,1.726335885,2.174340067,22.5233252,11.89961979,10.31174475,42.94823694,7.18,2083299,23583,161633721
Nectarinia_asiatica,P2,0,5810532.569,2.169353073,2.851864513,24.69173384,11.61747585,12.76962726,98.46693461,8.1,11670374,136957,1244639893
Nectarinia_habessinica,P2,0,1107754.717,1.855445303,2.342593291,24.80653946,12.76166286,5.96044664,36.53253877,9.5,1701154,16775,127891572
Nectarinia_lotenia,P2,0,292016.3246,2.32368485,2.858847108,26.24977472,9.938656478,6.467775056,90.74867485,8.77,1313843,14200,114652570
Nectarinia_manoensis,P2,0,454948.6623,2.084786478,2.864134452,21.16808056,12.67231176,8.736155663,69.5355749,9.48,811301,7969,69543857
Nectarinia_chalybea,P2,0,487879.744,2.069267738,2.214517861,16.82923483,13.73864336,11.41008815,37.78015149,7.73,2419009,26818,211929201
Nectarinia_afra,P2,0,365697.1433,2.231673618,2.507000393,16.8355627,13.1916395,10.43048142,56.71929527,11.1,1006071,9973,98790905
Nectarinia_ludovicensis,P2,0,71323.3664,1.952807873,2.809647868,19.28496575,12.66031845,4.789687624,84.49683762,8.67,NA,NA,NA
Nectarinia_stuhlmanni,P2,0,12102.1009,2.37572062,2.7848593,15.92196226,10.41897583,1.656458408,133.5561848,8.5,245136,2864,24680976
Nectarinia_preussi,P2,0,243088.5464,2.31155354,2.841435047,21.13966428,11.7446307,3.077335392,127.8945198,6.8,1285224,15570,129936301
Nectarinia_mediocris,P2,0,195956.7393,2.360722292,2.645522987,20.05760607,13.34543078,3.276397456,81.60855226,8.19,474661,5652,42627430
Nectarinia_chloropygia,P2,0,4297123.95,2.242962563,2.844326133,24.66924598,10.50657522,2.770226194,135.3466441,6.2,2126977,24319,191888252
Nectarinia_minulla,P2,0,1197915.011,2.326875025,2.853163631,24.97809048,9.488304341,2.78248706,142.3391999,5.7,447334,4790,39637945
Nectarinia_regia,P2,0,76601.78981,2.269396434,2.693817745,18.86344663,11.60802972,1.712013925,104.9156612,6.58,759165,8649,62926810
Nectarinia_loveridgei,P2,0,266.7890838,2.391808987,2.896042267,23.52370389,10.87842623,5.003055573,94.76057688,9.76,32,0,2882
Nectarinia_moreaui,P2,0,29656.25661,2.242594412,2.866300685,20.87850216,11.35566466,4.78357138,83.65924726,8.24,1051,11,99498
Nectarinia_rockefelleri,P2,0,10464.76865,2.283449368,2.818375067,18.38930581,11.31313775,1.775833401,115.8161385,5.3,NA,NA,NA
Nectarinia_cuprea,P2,0,7800875.326,2.111712467,2.876014949,24.10958245,11.94584038,4.220926123,115.0033522,8.9,3340827,37627,309066519
Nectarinia_fusca,P2,0,1120628.468,1.810258686,2.124493477,18.70912161,15.0449512,12.37057458,20.47159082,7.83,1432803,15965,130242127
Nectarinia_rufipennis,P2,0,4406.471636,2.278702974,2.956729293,21.04062462,11.27690983,4.752916574,98.97513962,8.79,271,3,25520
Nectarinia_tacazze,P2,0,285225.0461,2.336467092,2.852506874,17.60709413,13.79330928,3.894450066,97.42152428,14.87,1534749,18476,146279391
Nectarinia_purpureiventris,P2,0,70154.05065,2.303148712,2.709717796,18.18659764,11.3579533,1.606865122,112.2779912,11.5,125814,1417,10724299
Nectarinia_bocagii,P2,0,114260.4163,1.989961465,2.867303885,20.22670976,13.43674342,3.964188105,102.414568,14.8,NA,NA,NA
Nectarinia_kilimensis,P2,0,511131.658,2.221714394,2.76100389,19.90688652,12.20683923,3.636984159,93.11092465,15.66,1558046,16290,132932550
Nectarinia_reichenowi,P2,0,275625.1941,2.322803414,2.667027332,19.71269378,12.64798932,2.700062749,91.49853918,14.66,255279,2798,21290851
Nectarinia_famosa,P2,0,1097244.919,2.192017102,2.519885335,17.06553121,13.64596261,9.118479171,60.68230162,14.36,1511813,16501,151395580
Nectarinia_johnstoni,P2,0,19736.35107,2.300269938,2.813805914,19.84697266,11.89347248,3.594333386,94.77750244,15.16,44251,497,3594608
Nectarinia_shelleyi,P2,0,409057.0216,1.867377573,2.963858612,21.52442364,13.04706903,7.965615714,79.71147028,8.98,71296,691,6900042
Nectarinia_erythrocerca,P2,0,443379.579,2.166239545,2.720360797,23.10898779,12.41226924,3.1200532,91.41696865,8.79,906398,9391,84646090
Nectarinia_congensis,P2,0,130504.8544,2.274329912,2.699981082,25.31076922,9.964684418,1.789305599,140.9903997,9.65,NA,NA,NA
Nectarinia_mariquensis,P2,0,2538924.593,1.960883251,2.610507365,21.42964862,14.68250636,9.414717975,49.24146893,11.47,1705527,19093,157271910
Nectarinia_bifasciata,P2,0,1927794.278,2.055202468,2.858027008,22.37547996,12.04010048,6.506492072,83.50203408,7.18,2418255,29101,232631814
Nectarinia_tsavoensis,P2,0,114686.0908,2.222667085,2.48820553,25.1615581,11.14910123,4.302545026,51.22261738,6.8,13189,144,1387831
