coop_efficiency,cost_rate,sociality,res_mean,res_var_range,res_sd,pop_size_mean,pop_size_sd,pop_size_ub,pop_size_lb,coop_prop_mean,coop_prop_sd,coop_prop_ub,coop_prop_lb,coop_deg_mean,coop_deg_sd,coop_deg_ub,coop_deg_lb,range_size_mean,range_size_sd,range_size_ub,range_size_lb
10,0.16,Social,14,16,9.91E-14,1312.83,366.1530578,1384.594681,1241.065319,0.68126641,0.113683442,0.703547955,0.658984865,0.071797812,0.01090379,0.073934916,0.069660708,478.54,33.78414421,485.1615706,471.9184294
10,0.16,Social,14,18,1.00E-13,1323.29,392.4090654,1400.200764,1246.379236,0.67182872,0.113961277,0.69416472,0.64949272,0.069605062,0.010904668,0.071742338,0.067467786,477.55,38.30518894,485.0576791,470.0423209
10,0.16,Social,14,20,1.07E-13,1262.38,413.0228008,1343.330982,1181.429018,0.62891808,0.121740278,0.652778736,0.605057424,0.066056517,0.011700379,0.068349749,0.063763285,470.11,43.77850957,478.6904303,461.5295697
10,0.16,Social,14,22,1.08E-13,1329.7,526.9922948,1432.988593,1226.411407,0.56801734,0.122276458,0.591983086,0.544051594,0.060940663,0.011771769,0.063247887,0.058633439,465.79,56.55957832,476.8754737,454.7045263
10,0.16,Social,14,24,1.25E-13,1474.62,590.7231107,1590.399603,1358.840397,0.4753598,0.130770442,0.500990336,0.449729264,0.052161292,0.012537427,0.054618583,0.049704001,473.16,60.26851915,484.9724128,461.3475872
10,0.16,Social,14,26,1.16E-13,1354.52,672.890996,1486.404213,1222.635787,0.359984759,0.166970322,0.392710341,0.327259177,0.041203488,0.015674965,0.044275724,0.038131251,449.83,87.45319377,466.9705111,432.6894889
10,0.16,Social,14,28,1.10E-13,1282.55,764.1382864,1432.318353,1132.781647,0.258145964,0.170561,0.291575306,0.224716622,0.031825151,0.016249971,0.035010087,0.028640216,424.75,119.4722039,448.1661219,401.3338781
10,0.16,Social,15,0,0,1471.14,57.00540821,1482.312855,1459.967145,0.74792732,0.089102751,0.765391138,0.730463502,0.077728005,0.00923952,0.079538918,0.075917092,500.8,5.368426213,501.8521922,499.7478078
10,0.16,Social,15,2,1.14E-13,1473.03,74.80890875,1487.692277,1458.367723,0.73647577,0.106527513,0.757354779,0.715596761,0.077005179,0.009374181,0.078842485,0.075167873,502.16,5.674010927,503.2720857,501.0479143
10,0.16,Social,15,4,1.14E-13,1485.98,100.7158198,1505.719938,1466.240062,0.71683232,0.097250335,0.735893036,0.697771604,0.076249502,0.010378394,0.07828363,0.074215374,502.06,7.066569182,503.4450221,500.6749779
10,0.16,Social,15,6,1.12E-13,1455.38,131.3674606,1481.127549,1429.632451,0.72641033,0.101509934,0.746305912,0.706514748,0.076259768,0.009522524,0.078126148,0.074393388,498.95,8.425408002,500.6013496,497.2986504
10,0.16,Social,15,8,1.11E-13,1474.09,192.251156,1511.770534,1436.409466,0.74157383,0.111109177,0.763350829,0.719796831,0.076305077,0.010091996,0.078283072,0.074327082,498.97,12.74712124,501.4683899,496.4716101
10,0.16,Social,15,10,1.08E-13,1443.64,223.2872644,1487.4035,1399.8765,0.70878126,0.115103902,0.73134121,0.68622131,0.074424473,0.009730369,0.07633159,0.072517356,496.93,14.15362498,499.7040595,494.1559405
10,0.16,Social,15,12,1.02E-13,1469.08,268.1555662,1521.637526,1416.522474,0.7183634,0.107708889,0.739473954,0.697252846,0.075096517,0.010329205,0.077121004,0.07307203,497.29,15.55010932,500.3377654,494.2422346
10,0.16,Social,15,14,1.07E-13,1473.55,297.37788,1531.834994,1415.265006,0.70371541,0.113096937,0.725882002,0.681548818,0.073444254,0.009295287,0.075266097,0.071622411,496.71,18.29223606,500.2952124,493.1247876
